,number,crease_percentage_diff,shadow_percentage_diff,shadow_crease_percentage_diff
0,1,22.881739918441323,30.493883099229723,44.902582691436336
1,2,2.994908655286014,94.15992812219227,90.5360886492962
2,3,0.05877167205406994,81.6926241551572,80.69350573023803
3,4,5.0896286811779765,15.26888604353393,76.88860435339309
4,5,0.06013229104028864,19.452796151533374,43.56584485868912
5,6,0.20420070011668612,10.851808634772462,96.14935822637106
6,7,0.7817589576547231,92.67100977198697,70.61889250814333
7,8,10.431551871963418,10.888825378679623,15.947413546727637
8,9,0.03022974607013301,52.84159613059251,0.09068923821039904
9,10,4.714640198511166,24.627791563275434,67.55583126550869
